epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,10279.2,0.34843,0.44192,0.98397,0.83961,0.91198,0.92005,0.76603,0.61661,0.53867,1.20968,0.000594286,0.000594286,0.000594286
67,10427.9,0.33065,0.43675,0.97457,0.85377,0.85613,0.91661,0.76407,0.609,0.54039,1.2173,0.000577782,0.000577782,0.000577782
68,10580.1,0.33656,0.42145,0.98136,0.85194,0.89041,0.90804,0.75077,0.62521,0.53897,1.22694,0.000561279,0.000561279,0.000561279
69,10734.2,0.33555,0.43093,0.97796,0.86436,0.90346,0.93297,0.77657,0.61135,0.49177,1.22343,0.000544776,0.000544776,0.000544776
70,10898.8,0.3311,0.4183,0.97412,0.89528,0.88953,0.91726,0.75576,0.62337,0.51753,1.2276,0.000528272,0.000528272,0.000528272
71,11058.1,0.32486,0.41795,0.9708,0.87668,0.90171,0.91838,0.75931,0.61878,0.49354,1.23166,0.000511769,0.000511769,0.000511769
72,11209.3,0.32573,0.39576,0.97073,0.89974,0.87414,0.9263,0.77452,0.596,0.48443,1.2093,0.000495266,0.000495266,0.000495266
73,11365,0.32574,0.40661,0.97113,0.86559,0.85018,0.92154,0.76162,0.60163,0.53302,1.20192,0.000478762,0.000478762,0.000478762
74,11513.3,0.31764,0.39848,0.97229,0.85614,0.86117,0.9122,0.76047,0.61526,0.53329,1.20965,0.000462259,0.000462259,0.000462259
75,11666.2,0.32066,0.39245,0.97441,0.87389,0.86727,0.91965,0.76149,0.60367,0.5115,1.19984,0.000445756,0.000445756,0.000445756
76,11815.2,0.31785,0.39504,0.96621,0.86598,0.89014,0.92244,0.76886,0.59984,0.50976,1.18758,0.000429253,0.000429253,0.000429253
77,11968.3,0.3209,0.38857,0.97139,0.88285,0.87259,0.93035,0.77316,0.60958,0.48257,1.20592,0.000412749,0.000412749,0.000412749
78,12121.7,0.30834,0.38541,0.95845,0.85778,0.9018,0.92141,0.77385,0.59372,0.50566,1.20128,0.000396246,0.000396246,0.000396246
79,12271.3,0.30816,0.37394,0.96294,0.85794,0.91645,0.93586,0.77199,0.62231,0.48581,1.22996,0.000379743,0.000379743,0.000379743
80,12420.6,0.31279,0.37002,0.96371,0.89748,0.87213,0.92798,0.77496,0.59473,0.49473,1.2045,0.000363239,0.000363239,0.000363239
81,12570.2,0.3115,0.36713,0.96878,0.87533,0.89284,0.90722,0.75869,0.6069,0.51928,1.22344,0.000346736,0.000346736,0.000346736
82,12726.3,0.30299,0.36042,0.95969,0.88076,0.88583,0.92449,0.76536,0.60123,0.50019,1.19968,0.000330233,0.000330233,0.000330233
