epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3599.41,0.32932,0.39423,0.97009,0.87221,0.8694,0.92621,0.76021,0.64044,0.5409,1.23369,0.000660299,0.000660299,0.000660299
63,3656.4,0.33481,0.38438,0.96819,0.88524,0.88219,0.93941,0.7751,0.63565,0.51382,1.23695,0.000643795,0.000643795,0.000643795
64,3712.44,0.33312,0.38866,0.96829,0.85604,0.88626,0.93124,0.7719,0.63393,0.54098,1.24688,0.000627292,0.000627292,0.000627292
65,3769.12,0.33364,0.38241,0.97399,0.90323,0.89896,0.93719,0.77366,0.62564,0.47958,1.20585,0.000610789,0.000610789,0.000610789
66,3826.13,0.33251,0.3765,0.96986,0.90416,0.87081,0.94343,0.76301,0.6407,0.52182,1.23397,0.000594286,0.000594286,0.000594286
67,3883.16,0.32018,0.37148,0.96201,0.90505,0.86174,0.93204,0.7743,0.63098,0.51738,1.22663,0.000577782,0.000577782,0.000577782
68,3939.65,0.32944,0.37369,0.97185,0.86935,0.88425,0.9208,0.7565,0.63526,0.52176,1.24082,0.000561279,0.000561279,0.000561279
69,3996.09,0.31985,0.38044,0.96363,0.92736,0.8442,0.93353,0.77152,0.62215,0.52244,1.20796,0.000544776,0.000544776,0.000544776
70,4058.2,0.32027,0.3589,0.964,0.90252,0.87347,0.93842,0.77523,0.62928,0.52266,1.21698,0.000528272,0.000528272,0.000528272
71,4114.92,0.31906,0.36519,0.96217,0.90208,0.89095,0.94271,0.77816,0.62528,0.47935,1.21402,0.000511769,0.000511769,0.000511769
72,4171.57,0.31511,0.34659,0.95986,0.86609,0.91502,0.93849,0.78474,0.62165,0.50539,1.21801,0.000495266,0.000495266,0.000495266
73,4234.53,0.31669,0.35786,0.96031,0.88736,0.90754,0.93785,0.77691,0.62441,0.48141,1.22132,0.000478762,0.000478762,0.000478762
74,4293.37,0.30736,0.34792,0.96206,0.89258,0.88727,0.93718,0.77802,0.6123,0.49542,1.21929,0.000462259,0.000462259,0.000462259
75,4349.77,0.31114,0.34578,0.96447,0.86623,0.90754,0.93556,0.77155,0.60961,0.50549,1.21233,0.000445756,0.000445756,0.000445756
76,4407.02,0.31087,0.35153,0.95725,0.87152,0.91219,0.93452,0.77699,0.61558,0.51185,1.22702,0.000429253,0.000429253,0.000429253
77,4464.37,0.3085,0.33737,0.95419,0.87049,0.91042,0.93258,0.77307,0.62344,0.50724,1.22096,0.000412749,0.000412749,0.000412749
78,4520.96,0.2992,0.3288,0.95015,0.87878,0.91056,0.93298,0.77255,0.60824,0.4939,1.20895,0.000396246,0.000396246,0.000396246
79,4577.48,0.30037,0.32587,0.95386,0.87519,0.91663,0.92511,0.76578,0.61864,0.52461,1.21048,0.000379743,0.000379743,0.000379743
80,4634.32,0.30205,0.33012,0.95521,0.88828,0.89377,0.93414,0.7806,0.59093,0.51151,1.19509,0.000363239,0.000363239,0.000363239
81,4691.32,0.30247,0.32302,0.96621,0.88149,0.90858,0.93704,0.78847,0.60513,0.49191,1.2059,0.000346736,0.000346736,0.000346736
82,4754.94,0.29141,0.31722,0.94741,0.88121,0.88158,0.92935,0.7712,0.59904,0.51418,1.19008,0.000330233,0.000330233,0.000330233
83,4811.59,0.28323,0.30556,0.942,0.89469,0.88979,0.92707,0.76658,0.60932,0.51202,1.21363,0.000313729,0.000313729,0.000313729
84,4867.83,0.29469,0.31817,0.9512,0.87557,0.91076,0.93455,0.77718,0.60768,0.50476,1.21374,0.000297226,0.000297226,0.000297226
85,4929,0.2947,0.31277,0.94628,0.90356,0.89608,0.93126,0.77548,0.59854,0.51995,1.18389,0.000280723,0.000280723,0.000280723
86,4985.59,0.28965,0.31676,0.94417,0.8791,0.90652,0.93306,0.77492,0.60597,0.51874,1.21349,0.00026422,0.00026422,0.00026422
87,5042.5,0.28566,0.30506,0.94252,0.91811,0.86659,0.92916,0.77376,0.59425,0.50579,1.19754,0.000247716,0.000247716,0.000247716
88,5100.1,0.28449,0.29921,0.94586,0.87455,0.90682,0.93495,0.77611,0.60031,0.50514,1.20375,0.000231213,0.000231213,0.000231213
89,5156.97,0.28295,0.29486,0.94329,0.91989,0.87536,0.92152,0.76387,0.61325,0.54607,1.22174,0.00021471,0.00021471,0.00021471
90,5213.46,0.28139,0.29218,0.94539,0.91455,0.87302,0.92522,0.76042,0.60667,0.52279,1.20224,0.000198206,0.000198206,0.000198206
91,5275.25,0.23311,0.21174,0.90147,0.8869,0.87585,0.92674,0.76993,0.61072,0.52458,1.2185,0.000181703,0.000181703,0.000181703
92,5329.88,0.23931,0.19812,0.90432,0.89152,0.86727,0.92774,0.77689,0.60819,0.50101,1.22849,0.0001652,0.0001652,0.0001652
93,5385.41,0.22337,0.19002,0.89304,0.91681,0.85035,0.93157,0.77728,0.61205,0.5074,1.22395,0.000148696,0.000148696,0.000148696
94,5441.78,0.22547,0.20018,0.89478,0.85956,0.88277,0.91377,0.76462,0.58878,0.52803,1.19053,0.000132193,0.000132193,0.000132193
95,5497.23,0.21703,0.17952,0.88508,0.89424,0.85356,0.9192,0.76985,0.59507,0.53385,1.20523,0.00011569,0.00011569,0.00011569
96,5552.71,0.21744,0.17623,0.88455,0.92138,0.8474,0.92173,0.77114,0.59838,0.5063,1.20528,9.91865e-05,9.91865e-05,9.91865e-05
97,5608.62,0.21552,0.17426,0.88614,0.91447,0.86082,0.92146,0.77108,0.59651,0.50575,1.20609,8.26832e-05,8.26832e-05,8.26832e-05
98,5664.11,0.20833,0.16897,0.88397,0.87625,0.89668,0.9256,0.77987,0.58749,0.50005,1.19092,6.61799e-05,6.61799e-05,6.61799e-05
99,5719.33,0.20516,0.16539,0.8803,0.86208,0.91142,0.92218,0.77756,0.59249,0.50436,1.19871,4.96766e-05,4.96766e-05,4.96766e-05
100,5775.47,0.20981,0.1653,0.88902,0.92313,0.85092,0.92101,0.77499,0.58838,0.52281,1.19391,3.31733e-05,3.31733e-05,3.31733e-05
