epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,6291.76,0.34379,0.45973,0.97959,0.85914,0.88973,0.92584,0.75368,0.67169,0.53387,1.28643,0.000775822,0.000775822,0.000775822
56,6408.6,0.34032,0.45056,0.9853,0.84784,0.90427,0.92942,0.75738,0.63576,0.49527,1.22398,0.000759318,0.000759318,0.000759318
57,6534.1,0.35049,0.43066,0.98188,0.85077,0.90084,0.92029,0.73912,0.65891,0.51761,1.25936,0.000742815,0.000742815,0.000742815
58,6646.91,0.34716,0.42948,0.97788,0.86297,0.88832,0.91806,0.75491,0.63798,0.55948,1.22931,0.000726312,0.000726312,0.000726312
59,6760.53,0.34347,0.4351,0.97787,0.8943,0.8433,0.92232,0.75269,0.65173,0.5632,1.23518,0.000709809,0.000709809,0.000709809
60,6872.86,0.33928,0.41098,0.97321,0.86912,0.88674,0.92819,0.76792,0.63016,0.49943,1.21753,0.000693305,0.000693305,0.000693305
61,6989.57,0.32949,0.40035,0.97194,0.85353,0.90754,0.91219,0.75304,0.6355,0.52965,1.22763,0.000676802,0.000676802,0.000676802
62,7102.87,0.32751,0.40524,0.97125,0.88101,0.89238,0.94516,0.77807,0.62326,0.49166,1.18431,0.000660299,0.000660299,0.000660299
63,7217.04,0.33763,0.40636,0.97515,0.87897,0.89674,0.92228,0.76345,0.62707,0.5162,1.21007,0.000643795,0.000643795,0.000643795
64,7330.13,0.32663,0.4022,0.96722,0.82679,0.90815,0.93483,0.7542,0.66088,0.55383,1.27383,0.000627292,0.000627292,0.000627292
65,7442.83,0.33229,0.39671,0.97696,0.84338,0.91711,0.91356,0.73956,0.64059,0.54726,1.22525,0.000610789,0.000610789,0.000610789
66,7555.91,0.33117,0.39545,0.97273,0.88978,0.86727,0.92625,0.76121,0.64784,0.51651,1.24243,0.000594286,0.000594286,0.000594286
